Conju-Part-Wt (Max-Conju),Long/Sum Size Ratio,Atom1_ESP Maximal value (kcal/mol),VSA_EState7,SlogP_VSA4,Atom1_ESP Pi (kcal/mol),Conju_LogP_Min,Mid-Fun_PEOE-Charge_Sum,Molecular Size Long,Max Conju-Distance (Max-Conju),PEOE_VSA12,NOCount,Farthest Distance,ALIE Minimal Value,NumRotatableBonds,SlogP_VSA10,Molecular Radius,PEOE_VSA11,c1nc_nH_n1,Conju_LogP_Mean,TPSA,Num of Conju-All-Atoms,Disulfide,Kappa3,Conju_LogP_Max,c1ccc2occcc2c1,Arylbromide,Kappa2,Sulfonic_derivative,Secondary_arom_amine,Primary_arom_amine,NHOHCount,VSA_EState8,Nitro
44.009,0.479327233,87.480634,0.0,0.0,15.155981,-0.4222,-0.410630467,12.625,2,0.0,6,9.883,8.58085,7,0.0,6.141,0.0,0,-0.4222,126.64,6,1,6.080830818,-0.4222,0,0,6.932440045,0,0,0,6,0.0,0
72.092,0.391383495,-2.287224,0.0,0.0,10.042731,-0.8113,0.0,6.45,2,0.0,2,4.05,7.33092,0,0.0,3.225,5.112436885,0,-0.8113,52.04,4,0,8.372622268,-0.8113,0,0,1.061747212,0,0,0,4,0.0,0
224.062,0.508228632,93.401572,0.0,0.0,15.385835,2.641,0.108697868,11.488,6,0.0,2,8.506,9.12512,0,5.13155848,5.778,5.13155848,0,2.641,38.91,11,0,1.233445649,2.641,0,1,2.46054667,0,0,1,2,0.0,0
163.156,0.490072707,91.561076,0.0,5.817220841,15.337022,2.0176,0.26488445,10.515,6,0.0,2,7.935,9.09165,0,9.521973528,5.303,5.13155848,0,2.0176,38.91,11,0,1.050705808,2.0176,0,0,2.165579023,0,0,1,2,0.0,0
0.0,0.454064734,45.059033,0.0,0.0,14.041539,0.0,-0.075792075,7.814,0,0.0,1,4.879,7.72643,1,0.0,3.64,0.0,0,0.0,26.02,0,0,2.31,0.0,0,0,3.31,0,0,0,2,0.683641975,0
0.0,0.50853674,54.739077,0.0,0.0,14.101099,0.0,-0.185608524,12.063,0,0.0,2,9.665,7.75494,5,0.0,6.033,0.0,0,0.0,52.04,0,1,6.62,0.0,0,0,7.62,0,0,0,4,1.532218443,0
188.232,0.504428529,63.712106,0.0,0.0,11.606484,3.0406,-0.07446798,11.903,6,5.783244946,1,9.505,9.76185,2,0.0,5.953,0.0,0,3.0406,17.07,12,0,1.330531881,3.0406,0,0,3.207836991,0,0,0,0,0.0,0
28.01,0.38576573,55.598467,1.62037037,0.0,14.288166,-0.4309,-0.165646911,7.713,1,0.0,1,5.083,7.93922,0,0.0,3.741,0.0,0,-0.4309,17.07,2,0,1.512515594,-0.4309,0,0,2.358604859,0,0,0,0,0.0,0
74.084,0.391493655,55.062267,0.0,0.0,14.46317,0.3578,-0.165592894,7.373,2,0.0,2,4.713,8.68194,0,4.794537184,3.716,0.0,0,0.3578,29.1,4,0,0.65311977,0.3578,0,0,1.51218531,0,0,0,1,0.850694444,0
0.0,0.487332751,54.046564,-1.479938272,0.0,13.811136,0.0,-0.506368642,10.599,0,0.0,2,7.009,8.11452,3,0.0,5.005,0.0,0,0.0,40.46,0,0,2.813948138,0.0,0,0,4.494241633,0,0,0,2,0.0,0
120.132,0.43361589,47.537567,0.0,0.0,11.948828,1.6809,0.245302247,8.645,4,0.0,1,6.01,8.53808,0,0.0,4.205,0.0,0,1.6809,20.23,8,0,0.953629433,1.6809,0,0,2.092227095,0,0,0,1,0.0,0
212.258,0.473706998,56.217299,3.585942933,0.0,12.56414,3.276,-0.061455224,12.035,9,0.0,2,9.887,9.01424,3,0.0,6.143,0.0,0,3.276,25.78,14,1,2.75,3.276,0,0,5.024221453,0,0,0,0,0.0,0
216.224,0.479738799,0.147917,0.0,0.0,9.924862,3.4955,-0.13434532,13.224,10,0.0,2,10.989,7.48023,2,11.37477255,6.694,5.112436885,0,3.4955,24.06,16,0,3.068232753,3.4955,0,0,5.279057444,0,2,0,2,0.0,0
80.111,0.411417439,55.92481,0.0,0.0,12.353236,1.7481,8.33e-17,6.969,2,0.0,0,4.569,9.49602,0,0.0,3.485,0.0,0,1.7481,0.0,5,0,0.484065188,1.7481,0,0,1.221050249,0,0,0,0,0.0,0
240.333,0.568201062,61.732981,0.0,0.0,12.983163,5.2051,-4.94e-05,14.763,8,0.0,0,12.363,9.52372,2,0.0,7.382,0.0,0,5.2051,0.0,15,0,1.781493582,5.2051,0,0,3.926969145,0,0,0,0,0.0,0
82.107,0.410788382,70.486191,1.768518519,0.0,11.977493,1.1431,1.39e-17,6.93,2,0.0,1,4.536,9.08361,0,0.0,3.468,0.0,0,1.1431,12.89,5,0,0.449903997,1.1431,0,0,1.171267627,0,0,0,0,0.0,0
130.151,0.45145777,72.877534,0.0,0.0,13.142882,2.2963,-8.33e-17,9.012,4,0.0,1,6.837,9.25116,0,0.0,4.619,0.0,0,2.2963,12.89,9,0,0.715352864,2.2963,0,0,1.809938153,0,0,0,0,0.0,0
72.066,0.384932682,40.846569,0.0,0.0,12.736787,1.5415,-0.087754089,11.665,3,0.0,0,9.482,8.22851,3,0.0,5.941,0.0,0,1.5415,0.0,18,0,2.253282344,1.5415,0,0,5.55726056,0,0,0,0,0.0,0
0.0,0.377268512,35.027546,8.922384259,17.75371814,13.369381,0.0,-0.069667363,8.544,0,0.0,0,6.2,7.97066,0,0.0,4.3,0.0,0,0.0,0.0,0,0,0.96471413,0.0,0,0,1.985033374,0,0,0,0,0.0,0
139.586,0.48928377,64.922134,0.0,0.0,14.564278,2.6287,0.119882892,9.885,5,0.0,0,6.669,8.67714,0,0.0,4.81,0.0,0,2.6287,0.0,8,0,1.423692918,2.6287,0,0,2.42306753,0,0,0,0,0.0,0
136.2,0.492093207,58.700237,0.0,0.0,14.537963,2.264,0.071054975,9.989,5,0.0,0,6.814,8.59598,0,0.0,4.607,0.0,0,2.264,0.0,8,0,1.456225286,2.264,0,0,2.464484912,0,0,0,0,0.0,0
136.2,0.465759438,56.73345,0.0,0.0,14.269183,2.264,0.070973904,9.549,4,0.0,0,7.149,8.64774,0,0.0,4.775,0.0,0,2.264,0.0,8,0,1.456225286,2.264,0,0,2.464484912,0,0,0,0,0.0,0
136.2,0.411049216,54.787553,0.0,0.0,14.501425,2.264,0.068704845,8.043,4,0.0,0,5.989,8.71875,0,0.0,4.194,0.0,0,2.264,0.0,8,0,1.20172926,2.264,0,0,2.464484912,0,0,0,0,0.0,0
106.129,0.452567817,55.055978,1.710648148,0.0,12.473503,1.3703,1.25e-16,8.592,4,0.0,1,5.992,8.6998,0,0.0,4.196,0.0,0,1.3703,12.89,7,0,1.197777778,1.3703,0,0,1.98,0,0,0,0,0.0,0
106.129,0.43491351,68.151255,3.421296296,0.0,14.423264,1.3703,-5.55e-17,7.945,4,0.0,1,5.734,8.62533,0,0.0,4.067,0.0,0,1.3703,12.89,7,0,1.197777778,1.3703,0,0,1.98,0,0,0,0,0.0,0
74.062,0.451196883,42.4418,1.769398148,0.0,14.733753,0.9365,-0.121604969,9.726,3,0.0,1,7.389,8.17731,1,0.0,4.894,0.0,0,0.9365,12.89,6,0,1.234072022,0.9365,0,0,2.721453287,0,0,0,0,0.0,0
0.0,0.660613875,42.573869,10.9674667,0.0,13.985197,0.0,-0.154321905,18.445,0,0.0,0,15.453,8.02673,9,0.0,9.227,0.0,0,0.0,0.0,0,0,10.7,0.0,0,0,11.7,0,0,0,0,0.0,0
0.0,0.625620421,43.318557,8.044435154,0.0,14.029267,0.0,-0.154321905,15.882,0,0.0,0,12.895,8.02737,7,0.0,7.947,0.0,0,0.0,0.0,0,0,8.7,0.0,0,0,9.7,0,0,0,0,0.0,0
0.0,0.569067296,45.745684,3.764228395,0.0,14.192581,0.0,-0.154321897,12.05,0,0.0,0,9.099,8.03568,4,0.0,6.049,0.0,0,0.0,0.0,0,0,6.7,0.0,0,0,6.7,0,0,0,0,0.0,0
0.0,0.530080016,48.501562,2.402006173,0.0,14.306475,0.0,-0.154320863,10.732,0,0.0,0,7.776,8.04913,3,0.0,5.388,0.0,0,0.0,0.0,0,0,4.7,0.0,0,0,5.7,0,0,0,0,0.0,0
0.0,0.463315606,57.972576,0.0,0.0,14.944512,0.0,-0.152558684,8.102,0,0.0,0,5.263,8.15868,1,0.0,3.831,0.0,0,0.0,0.0,0,0,2.7,0.0,0,0,3.7,0,0,0,0,0.0,0
