MaxPartialCharge,ESP Minimal Value,Mid-Fun_PEOE-Charge_Sum,Atom_MR_Delta,MinAbsPartialCharge,VSA_EState7,EState_VSA10,Mid-Fun_PEOE-Charge_Mean,NumAliphaticRings,Tri_boron,Iaverage / mA cm-2,SlogP_VSA5,PEOE_VSA12,Arylchloride,Octopole Moment,SlogP_VSA4,PEOE_VSA9,ALIE Maximal Value,Arylthiol,ODI HOMO-1,Primary_arom_amine,NHOHCount,EState_VSA5,NumHDonors,Atom_PEOE-Charge_Min,Alkene,Arylfluoride,PEOE_VSA14,Secondary_aliph_amine,Fun_PEOE-Charge_Mean,MaxAbsPartialCharge
0.335179582,-78.10305,-0.05006415,7.3695,0.335179582,1.954140684,4.794537184,-0.01668805,0,0,108.6666667,10.35798868,0.0,0,229.6696,0.0,5.563451492,17.89902,1,15.28,0,1,0.0,1,-0.477647348,0,0,5.969305288,0,-0.055063798,0.477639243
0.115154786,-43.52085,0.072575855,6.7672,0.115154786,2.00633031,0.0,0.024191952,0,0,90.0,0.0,0.0,0,139.742,0.0,0.0,17.56468,1,11.8,0,1,4.895483476,1,-0.507984445,0,0,0.0,0,-0.055062848,0.507965608
0.459647294,-23.15604,-2.042467986,6.534,0.199609298,-9.651574857,57.07539562,-0.170205665,0,0,109.0,6.420821623,0.0,0,260.4832,0.0,0.0,19.41306,0,6.84,0,0,0.0,1,-0.199620931,0,0,35.78894436,0,-0.169109069,0.459647294
0.174782756,-14.8651,3.365105676,6.534,0.174782756,0.0,17.56166019,0.560850946,0,0,96.0,0.0,0.0,0,66.0345,23.26888336,4.895483476,17.92059,1,14.4,0,0,0.0,1,-0.203625029,0,4,0.0,0,2.31e-17,0.203605245
0.283110933,-59.28655,0.123619792,6.5876,0.203474302,0.0,21.31686708,0.030904948,0,0,129.6666667,0.0,0.0,0,284.7063,0.0,13.72361334,18.13737,0,6.81,0,0,36.39820241,0,-0.20349142,0,0,0.0,0,0.046422906,0.283110933
0.322470707,-74.90629,-0.743941758,7.591,0.322470707,-0.234962233,19.17814874,-0.148788352,0,0,129.3333333,12.84164325,11.81435946,0,1243.5247,0.0,0.0,18.02134,0,26.28,0,6,0.0,6,-0.480094983,0,0,11.93861058,2,-0.148788352,0.480086286
0.320822211,-72.3532,-0.188349935,7.591,0.320822211,0.0,4.794537184,-0.094174967,0,0,136.3333333,0.0,0.0,0,57.1776,0.0,0.0,17.35852,0,22.86,0,3,0.0,3,-0.480072519,0,0,5.969305288,0,-0.094174967,0.480063884
0.320864942,-68.9954,-0.410630467,7.591,0.320864942,0.0,9.589074368,-0.136876822,0,0,113.6666667,0.0,0.0,0,493.2632,0.0,0.0,17.36806,0,13.11,0,6,21.58779595,4,-0.480072017,0,0,11.93861058,0,-0.136876822,0.480063385
0.320864942,-72.94561,-0.410630467,7.591,0.320864942,0.0,9.589074368,-0.136876822,0,0,115.6666667,0.0,0.0,0,503.0731,0.0,0.0,17.43641,0,10.31,0,6,21.58779595,4,-0.480072017,0,0,11.93861058,0,-0.136876822,0.480063385
0.320864942,-74.24616,-0.410630467,7.591,0.320864942,0.0,9.589074368,-0.136876822,0,0,112.6666667,0.0,0.0,0,549.9213,0.0,0.0,17.37273,0,10.51,0,6,21.58779595,4,-0.480072017,0,0,11.93861058,0,-0.136876822,0.480063385
