Atom_MR_Std,EState_VSA7,Atom1_ESP All average (kcal/mol),Iaverage / mA cm-2,Fun_PEOE-Charge_Std,NumAliphaticRings,Long/Sum Size Ratio,VSA_EState7,NumAliphaticCarbocycles,c1ccncc1,Tri_boron,PEOE_VSA10,NumSaturatedCarbocycles,SMR_VSA4,Arylchloride,SlogP_VSA5,NumHDonors,Farthest Distance,Atom1_ESP Pi (kcal/mol),Fun_PEOE-Charge_Delta,SlogP_VSA4,SlogP_VSA7,Tertiary_arom_amine,Alkylfluoride,Alcohol,NumSaturatedRings,Molecular Size Long,Conju_PEOE-Charge_Delta,Conju_PEOE-Charge_Std,c1nc_nH_n1,c1c_nH_cn1,c1ccc2sc_n+_c2c1,c1cc_nH_c1,Atom_PEOE-Charge_Sum,Alkene,HOMO,SMR_VSA10,SMR_VSA5,Amide,Secondary_arom_amine,Trifluoromethyl
1.653262156,24.26546827,5.1183,147.0,0.152791678,1,0.499009209,0.0,0,0,0,0.0,0,0.0,1,0.0,1,9.957,14.276778,0.407683882,0.0,5.022633314,0,0,0,0,12.843,0.0,0.0,0,0,0,0,1.11e-16,0,-0.198188,34.73759739,9.790966951,0,1,0
1.515806938,11.76188495,-0.88264,146.0,0.198735505,1,0.492317199,0.0,0,0,0,0.0,0,0.0,0,0.0,0,9.698,13.43941,0.482004888,0.0,0.0,1,0,0,0,11.951,0.0,0.0,0,0,0,0,4.16e-17,0,-0.179338,23.1366575,9.790966951,0,0,0
1.801168382,11.94758171,-40.96266,91.0,0.0,1,0.38271294,0.0,0,0,0,0.0,0,0.0,0,0.0,1,5.337,9.512251,0.0,0.0,0.0,0,0,0,1,7.598,0.0,0.0,0,0,0,0,1.94e-16,0,-0.218504,17.33031033,0.0,0,0,0
2.361098332,0.0,-5.96722,116.6666667,0.0,0,0.374815647,1.694444444,0,0,0,0.0,0,0.0,0,0.0,1,3.326,14.372363,0.0,0.0,0.0,0,0,0,0,5.337,0.0,0.0,0,0,0,0,6.94e-17,0,-0.241991,12.62878915,0.0,0,0,0
1.761915866,6.255769184,13.93147,108.6666667,0.108623998,0,0.505753791,1.954140684,0,0,0,0.0,0,0.0,0,10.35798868,1,8.829,13.799755,0.260829221,0.0,0.0,0,0,0,0,11.339,0.0,0.0,0,0,0,0,-8.33e-17,0,-0.225303,17.73119024,4.895483476,0,0,0
1.696672433,18.38850332,-8.72439,90.0,0.181717305,0,0.462918124,2.00633031,0,0,0,5.749511833,0,0.0,0,0.0,1,8.023,13.923862,0.468729572,0.0,0.0,0,0,0,0,10.324,0.0,0.0,0,0,0,0,-6.94e-17,0,-0.23169,11.76188495,4.895483476,0,0,0
1.343295901,0.0,4.83749,109.0,0.046580788,0,0.547158026,-9.651574857,0,0,0,0.0,0,0.0,0,6.420821623,1,11.663,14.395269,0.16508948,0.0,0.0,0,13,0,0,14.892,0.0,0.0,0,0,0,0,-5.69e-16,0,-0.248335,12.62878915,42.20976598,0,0,1
1.752709132,0.0,15.76572,96.0,0.381548403,0,0.419631126,0.0,0,0,0,0.0,0,0.0,0,0.0,1,6.007,13.800854,1.044901448,23.26888336,0.0,0,0,0,0,8.623,0.0,0.0,0,0,0,0,1.39e-16,0,-0.245312,12.62878915,4.895483476,0,0,0
1.721633118,0.0,64.63303,129.6666667,0.085468443,0,0.465224331,0.0,0,0,0,0.0,0,0.0,0,0.0,0,11.103,8.957976,0.170936886,0.0,0.0,0,0,0,0,13.117,0.0,0.0,0,0,0,0,-2.22e-16,0,-0.280138,20.04658231,9.790966951,0,0,0
1.664164258,0.0,8.3807,129.3333333,0.061821717,0,0.49207662,-0.234962233,0,0,0,18.62843806,0,5.733667477,0,12.84164325,6,12.571,14.540745,0.16025031,0.0,0.0,0,0,0,0,14.874,0.12310979,0.055193391,0,0,0,0,3.33e-16,0,-0.245611,36.38175918,24.9253249,2,0,0
