Conju-Part-Wt (Max-Conju),VSA_EState7,Fun_MR_Sum,Num of Conju-All-Atoms,Conju_PEOE-Charge_Max,Fun_LogP_Sum,EState_VSA10,SMR_VSA9,Conju_LogP_Max,PEOE_VSA12,NumSaturatedRings,Conju_MR_Sum,Octopole Moment,VSA_EState8,Conju_LogP_Min,SlogP_VSA10,PEOE_VSA14,MolLogP,Mid-Fun_LogP_Delta,Arylchloride,MaxAbsEStateIndex,NumAliphaticRings,Length/Diameter,Conju_LogP_Mean,EState_VSA2,NumRotatableBonds,SlogP_VSA7,MaxAbsPartialCharge,Secondary_arom_amine,Fun_LogP_Min,Thioacetal,EState_VSA6,Atom1_ALIE Min value,SlogP_VSA6,Mid-Fun_MR_Delta,EState_VSA5,Sulfon,HOMO,Primary_arom_amine,Alkene,c1ccc2sc_n+_c2c1,Nitro,c1ccc2occcc2c1,Lactone,Farthest Distance,Oxoarene,Conju_PEOE-Charge_Delta,c1ccsc1,Conju_PEOE-Charge_Std
262.225,0.0,106.0445,19,-0.279729602,4.2321,9.589074368,0.0,2.8205,5.783244946,0,72.7145,420.561,5.903674016,2.8205,5.687386275,5.625586319,3.9317,1.8834,0,12.37817688,0,0.996620398,2.8205,11.34669644,5,0.0,0.422110085,0,-0.4846,0,17.51279691,9.808199,50.303649,38.111,11.33678588,0,-0.207153,0,0,0,0,1,1,13.57,1,0.0,1,0.0
0.0,0.0,8.986,0,0.0,0.3805,0.0,0.0,0.0,0.0,0,0.0,16.0166,1.989197531,0.0,0.0,0.0,0.9361,0.0,0,3.788580247,0,1.066687638,0.0,0.0,0,0.0,0.17965217,0,0.3805,0,0.0,8.057278,0.0,0.0,0.0,0,-0.241222,0,0,0,0,0,0,3.958,0,0.0,0,0.0
225.659,0.0,65.2997,15,1.11e-16,4.5482,0.0,0.0,4.5482,0.0,0,65.2997,169.9295,0.0,4.5482,11.37477255,0.0,4.5482,2.0441,1,5.954481153,1,0.994964363,4.5482,0.0,0,5.022633314,0.35363447,1,-0.3046,0,11.76188495,8.531668,52.25553643,26.106,9.790966951,0,-0.198188,0,0,0,0,0,0,9.957,0,0.0,0,0.0
190.206,0.0,59.146,14,-0.15006662,3.7536,0.0,0.0,3.7536,0.0,0,59.146,39.1444,0.0,3.7536,11.37477255,0.0,3.9191,2.2214,0,2.251157407,1,0.987849231,3.7536,0.0,0,0.0,0.342776791,0,-0.4458,0,0.0,8.554539,58.3219035,21.549,21.1657395,0,-0.179338,0,0,0,0,0,0,9.698,0,0.0,0,0.0
72.092,0.0,1.839,4,-0.421603931,-0.3187,0.0,0.0,-0.4442,0.0,1,17.5727,32.0991,2.063657407,-0.4442,0.0,0.0,-0.1937,0.0,0,4.856481481,1,0.98190747,-0.4442,0.0,0,0.0,0.360795474,0,-0.3187,0,0.0,7.378764,0.0,0.0,0.0,0,-0.218504,0,0,0,0,0,0,5.337,0,0.0,0,0.0
0.0,1.694444444,8.986,0,0.0,0.3805,0.0,0.0,0.0,0.0,0,0.0,11.6408,0.0,0.0,0.0,0.0,0.546,0.0,0,3.527777778,0,0.932064268,0.0,0.0,0,0.0,0.182803759,0,0.3805,0,6.255769184,8.096066,0.0,0.0,0.0,0,-0.241991,0,0,0,0,0,0,3.326,0,0.0,0,0.0
148.142,1.954140684,46.8493,10,-0.090638179,2.5894,4.794537184,0.0,1.9412,0.0,0,39.2583,229.6696,0.0,1.9412,0.0,5.969305288,2.1067,0.8049,0,10.39375236,0,0.981731602,1.9412,0.0,2,0.0,0.477639243,0,-0.1567,0,36.02735322,8.565624,29.16095175,7.8573,0.0,0,-0.225303,0,0,0,0,0,0,8.829,0,0.0,0,0.0
120.132,2.00633031,41.5548,8,-0.090638209,2.5968,0.0,5.749511833,1.9486,0.0,0,33.9638,139.742,0.0,1.9486,0.0,0.0,2.1141,1.2052,0,8.842928949,0,0.990596814,1.9486,0.0,1,0.0,0.507965608,0,-0.557,0,23.89461909,7.958878,29.16095175,7.591,4.895483476,0,-0.23169,0,0,0,0,0,0,8.023,0,0.0,0,0.0
0.0,-9.651574857,29.445,0,0.0,6.8986,57.07539562,0.0,0.0,0.0,0,0.0,260.4832,0.0,0.0,57.07539562,35.78894436,5.0451,0.675,0,12.86584105,0,1.038928422,0.0,0.0,6,0.0,0.459647294,0,0.3805,0,0.0,8.259311,0.0,7.878,0.0,0,-0.248335,0,0,0,0,0,0,11.663,0,0.0,0,0.0
180.125,0.0,33.526,11,1.11e-16,2.5317,17.56166019,0.0,2.5317,0.0,0,33.526,66.0345,0.0,2.5317,17.56166019,0.0,2.5317,1.6808,0,12.31351852,0,1.025814894,2.5317,6.066367068,0,0.0,0.203605245,0,0.3805,0,0.0,9.048857,10.96185054,12.31,0.0,0,-0.245312,0,0,0,0,0,0,6.007,0,0.0,0,0.0
