Atom1_ESP All area (Ang^2),c1ccncc1,Atom1_ALIE Max value,Atom1_ESP Minimal value (kcal/mol),Mid-Fun_MR_Max,NumAromaticRings,Conju_LogP_Max,Conju_PEOE-Charge_Mean,Mid-Fun_LogP_Mean,PEOE_VSA2,Conju-Part-Wt (Max-Conju),c1ccsc1,Conju_PEOE-Charge_Sum,Thioacetal,Atom1_ESP All average (kcal/mol),BalabanJ,Mid-Fun_LogP_Max,Conju_PEOE-Charge_Max,Amide,PEOE_VSA9,SlogP_VSA8,VSA_EState7,Atom_LogP_Delta,Tri_boron,Atom1_ALIE Min value,Conju_LogP_Mean,Dialkylthioether,HallKierAlpha,SMR_VSA1,PEOE_VSA12,Conju_LogP_Min,Fun_MR_Min,Fun_PEOE-Charge_Min,MinAbsEStateIndex,MaxAbsEStateIndex,Atom_LogP_Min
17.07866,0,14.969945,-8.455355,66.7605,3,2.8205,-0.279729602,1.69305,4.794537184,262.225,1,-0.279729602,0,12.01628,2.074985487,3.0875,-0.279729602,0,0.0,10.96924436,0.0,1.4423,0,9.808199,2.8205,0,-2.4,9.211688121,5.783244946,2.8205,2.819,-0.371996701,0.075452937,12.37817688,-0.8186
15.71512,0,13.269981,-33.410695,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-7.50502,1.632993162,0.3805,0.0,0,0.0,0.0,0.0,0.9159,0,8.057278,0.0,0,0.35,0.0,0.0,0.0,8.986,-0.077459777,0.944444444,3.788580247,-0.2677
17.00936,0,14.704647,-25.063918,55.484,2,4.5482,1.11e-16,2.93892,0.0,225.659,0,1.11e-16,0,5.1183,2.10860605,4.1633,1.11e-16,0,11.37477255,0.0,0.0,1.2083,0,8.531668,4.5482,1,-1.12,0.0,0.0,4.5482,3.9627,-0.18704592,0.765028817,5.954481153,-0.5188
16.45466,0,14.294185,-26.1511,56.327,2,3.7536,-0.15006662,2.8152,0.0,190.206,0,-0.15006662,0,-0.88264,2.196393427,4.1994,-0.15006662,0,11.37477255,0.0,0.0,1.094,0,8.554539,3.7536,1,-1.41,0.0,0.0,3.7536,2.819,-0.342787246,1.292777778,2.251157407,-0.4458
22.53458,0,11.196083,-57.70257,1.839,0,-0.4442,-0.421603931,-0.3187,0.0,72.092,0,-0.421603931,0,-40.96266,2.478438739,-0.3187,-0.421603931,0,0.0,0.0,0.0,1.3578,0,7.378764,-0.4442,0,-0.31,0.0,0.0,-0.4442,1.839,-0.350613786,0.875,4.856481481,-0.7096
15.89969,0,13.467623,-32.590817,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-5.96722,1.0,0.3805,0.0,0,0.0,0.0,1.694444444,0.9159,0,8.096066,0.0,0,0.35,0.0,0.0,0.0,8.986,-0.080898635,1.694444444,3.527777778,-0.2677
16.32817,0,14.030981,-11.286667,39.2583,1,1.9412,-0.090638179,1.777366667,0.0,148.142,0,-0.090638179,0,13.93147,2.913801563,2.0979,-0.090638179,0,5.563451492,0.0,1.954140684,0.9375,0,8.565624,1.9412,1,-0.96,9.901064579,0.0,1.9412,7.591,-0.129617013,0.335925926,10.39375236,-0.2893
16.15514,0,13.345304,-35.210607,33.9638,1,1.9486,-0.090638209,1.9182,0.0,120.132,0,-0.090638209,0,-8.72439,2.881555878,2.5056,-0.090638209,0,0.0,0.0,2.00633031,0.9375,0,7.958878,1.9486,1,-0.63,5.106527395,0.0,1.9486,2.2188,-0.214877298,0.326666667,8.842928949,-0.2893
15.59627,0,13.637446,-23.156044,8.986,0,0.0,0.0,0.469833333,0.0,0.0,0,0.0,0,4.83749,6.112592581,1.0555,0.0,0,0.0,0.0,-9.651574857,0.9159,0,8.259311,0.0,0,-0.56,57.07539562,0.0,0.0,1.108,-0.199620931,1.263983017,12.86584105,-0.2677
15.87,0,15.359515,-10.011382,33.526,1,2.5317,1.11e-16,1.1575,0.0,180.125,0,1.11e-16,0,15.76572,3.455546484,2.5317,1.11e-16,0,4.895483476,0.0,0.0,0.9159,0,9.048857,2.5317,0,-0.71,17.56166019,0.0,2.5317,1.108,-0.203625029,0.129351852,12.31351852,-0.2677
